field_1,lng,lat,owner,title,tags,taken
26437,15.210832999999999,44.061109999999999,36496883@N08,20150925_184506,,Fri Sep 25 18:45:06 CEST 2015
26438,15.211944000000001,44.061664999999998,36496883@N08,20150925_191442,,Fri Sep 25 19:14:42 CEST 2015
26439,15.211944000000001,44.061942999999999,36496883@N08,20150925_191544,,Fri Sep 25 19:15:43 CEST 2015
26440,15.211944000000001,44.061942999999999,36496883@N08,20150925_191605,,Fri Sep 25 19:16:04 CEST 2015
26473,15.081388000000000,44.164444000000003,36496883@N08,20150926_142525,,Sat Sep 26 14:25:24 CEST 2015
26474,15.081388000000000,44.164444000000003,36496883@N08,20150926_142532,,Sat Sep 26 14:25:31 CEST 2015
26475,15.081388000000000,44.164444000000003,36496883@N08,20150926_142536,,Sat Sep 26 14:25:35 CEST 2015
26476,15.077500000000001,44.174168000000002,36496883@N08,20150926_143924,,Sat Sep 26 14:39:23 CEST 2015
26477,15.069444000000001,44.179442999999999,36496883@N08,20150926_144945,,Sat Sep 26 14:49:44 CEST 2015
26478,15.060833000000001,44.181109999999997,36496883@N08,20150926_145810,,Sat Sep 26 14:58:09 CEST 2015
26479,15.060833000000001,44.181109999999997,36496883@N08,20150926_145812,,Sat Sep 26 14:58:11 CEST 2015
26480,15.153888000000000,44.114445000000003,36496883@N08,20150926_132511,,Sat Sep 26 13:25:11 CEST 2015
26481,16.458344000000000,43.500945999999999,99741841@N07,20150925_165151_HDR-01,,Fri Sep 25 16:51:50 CEST 2015
26482,16.396035999999999,43.509006999999997,37912373962@N01,15th century hermitage in cliff face,"rock;mediterranean;outdoor;croatia;cave;hermitage;renaissance;adriaticsea;antiquities;cavedwelling;splitcroatia;adraitic;marjanpark;stonedwellings",Tue Sep 22 07:52:53 CEST 2015
26483,16.401035000000000,43.504973999999997,37912373962@N01,"Split, Croatia - 1,000 year-old church and Oceanographic Institute","travel;mediterranean;churches;croatia;medieval;split;adriatic;adriaticsea;antiquities;historicalsites;seaandsky;splitcroatia;medievalchurch;seetheworld;marjanpark",Mon Sep 28 06:39:44 CEST 2015
26484,15.183299999999999,44.233300000000000,52273785@N02,ByeBye Nin. Is schön jewesen! <3,"square;squareformat;lark;iphoneography;instagramapp;uploaded:by=instagram",Tue Sep 29 08:21:38 CEST 2015
26453,15.189444000000000,44.081665000000001,36496883@N08,20150926_081641,,Sat Sep 26 08:16:40 CEST 2015
26454,15.189166000000000,44.081111999999997,36496883@N08,20150926_094129,,Sat Sep 26 09:41:28 CEST 2015
26455,15.189444000000000,44.081111999999997,36496883@N08,20150926_094232,,Sat Sep 26 09:42:31 CEST 2015
26456,15.189444000000000,44.081111999999997,36496883@N08,20150926_094239,,Sat Sep 26 09:42:38 CEST 2015
26361,15.190000000000000,44.081386999999999,36496883@N08,20150928_092723,,Mon Sep 28 09:27:22 CEST 2015
26362,15.190000000000000,44.081386999999999,36496883@N08,20150928_092731,,Mon Sep 28 09:27:30 CEST 2015
26363,15.189166000000000,44.081944000000000,36496883@N08,20150928_100726,,Mon Sep 28 10:07:25 CEST 2015
26364,15.119999999999999,44.130833000000003,36496883@N08,20150927_151003,,Sun Sep 27 15:10:02 CEST 2015
26365,15.189166000000000,44.081944000000000,36496883@N08,20150927_200846,,Sun Sep 27 20:08:45 CEST 2015
26366,15.189166000000000,44.081944000000000,36496883@N08,20150928_092624,,Mon Sep 28 09:26:23 CEST 2015
26367,15.189166000000000,44.081944000000000,36496883@N08,20150928_092632,,Mon Sep 28 09:26:31 CEST 2015
26368,15.188888000000000,44.080275999999998,36496883@N08,20150925_140320,,Fri Sep 25 14:03:19 CEST 2015
26369,15.188888000000000,44.080275999999998,36496883@N08,20150925_140328,,Fri Sep 25 14:03:28 CEST 2015
26370,15.189722000000000,44.080275999999998,36496883@N08,20150925_140545,,Fri Sep 25 14:05:44 CEST 2015
26371,15.189444000000000,44.081665000000001,36496883@N08,20150925_140814,,Fri Sep 25 14:08:13 CEST 2015
26372,15.189444000000000,44.081665000000001,36496883@N08,20150925_141045,,Fri Sep 25 14:10:44 CEST 2015
26469,15.126388000000000,44.133057000000001,36496883@N08,20150926_134647,,Sat Sep 26 13:46:46 CEST 2015
26470,15.108611000000000,44.142223000000001,36496883@N08,20150926_135932,,Sat Sep 26 13:59:31 CEST 2015
26471,15.108611000000000,44.142223000000001,36496883@N08,20150926_135936,,Sat Sep 26 13:59:35 CEST 2015
26472,15.081388000000000,44.164444000000003,36496883@N08,20150926_142522,,Sat Sep 26 14:25:21 CEST 2015
26377,15.189166000000000,44.081665000000001,36496883@N08,20150925_143055,,Fri Sep 25 14:30:54 CEST 2015
26378,15.189166000000000,44.081665000000001,36496883@N08,20150925_143100,,Fri Sep 25 14:30:59 CEST 2015
26379,15.189166000000000,44.080275999999998,36496883@N08,20150925_144316,,Fri Sep 25 14:43:15 CEST 2015
26380,15.189444000000000,44.081665000000001,36496883@N08,20150925_150705,,Fri Sep 25 15:07:04 CEST 2015
26381,15.189444000000000,44.081665000000001,36496883@N08,20150925_155743,,Fri Sep 25 15:57:43 CEST 2015
26382,15.188888000000000,44.082222000000002,36496883@N08,20150925_170703,,Fri Sep 25 17:07:02 CEST 2015
