lng,lat,owner,title,tags,descriptio,taken
16.836233,43.333363,57316350@N00,Povlje boat,sea;rock;boat;croatia;bouy;brac;povlje,,Thu May 14 14:47:51 CEST 2009
16.618889,43.285027,57316350@N00,Happy travellers!,,,Thu May 14 13:26:30 CEST 2009
16.549213,43.38287,57316350@N00,View of Split from Supetar,ocean;houses;water;croatia;land;split;brac;supetar,,Thu May 14 12:34:45 CEST 2009
18.108515,42.640778,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikkatedralamarijinauznesenja;dubrovnikcathedral,,Thu May 07 13:56:55 CEST 2009
18.102121,42.643932,44491765@N06,09Eur Croatia 22,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 06:09:22 CEST 2009
18.108515,42.640778,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwalls;dubrovnikwallwalk,,Thu May 07 13:56:16 CEST 2009
18.111368,42.64063,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikgradskaluka;dubrovnikoldport,,Thu May 07 13:56:08 CEST 2009
18.104288,42.640713,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovniklovrijenac;dubrovnikfortlovrijenac;fortlovrijenac;lovrijenacdubrovnikstlawrencefortress,,Thu May 07 13:37:32 CEST 2009
18.108515,42.640778,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikrozariochurchandconfraternity,,Thu May 07 13:55:41 CEST 2009
18.108515,42.640778,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikrozariochurchandconfraternity,,Thu May 07 13:55:16 CEST 2009
18.108515,42.640778,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikrozariochurchandconfraternity,,Thu May 07 13:55:07 CEST 2009
18.108086,42.641,44491765@N06,09Eur Dubrovnik 085,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 01:46:23 CEST 2009
18.111282,42.64102,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikgradskaluka;dubrovnikoldport,,Thu May 07 14:04:59 CEST 2009
18.11048,42.64026,44491765@N06,09Eur Dubrovnik 055,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:51:55 CEST 2009
18.11048,42.64026,44491765@N06,09Eur Dubrovnik 054,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:51:20 CEST 2009
16.836672,43.33316,57316350@N00,My grandmother's childhood home in Povlje,houses;boat;town;harbour;croatia;brac;povlje,,Thu May 14 15:18:57 CEST 2009
18.110542,42.641068,44491765@N06,09Eur Dubrovnik 050,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:48:20 CEST 2009
18.105919,42.64193,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikpanandnymphfountain,,Thu May 07 15:09:47 CEST 2009
18.10475,42.64272,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikhiltonimperial,,Thu May 07 15:07:01 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:46:22 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:51:39 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:45:21 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:45:13 CEST 2009
18.216791,42.580166,14710727@N08,"Church, Cavtat.",trees;sea;sky;sun;church;water;boats;coast;nikon;flag;croatia;sigma;cavtat;d80;wwwjohnrichardsphotographycouk,,Tue May 12 11:55:23 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:44:18 CEST 2009
18.108086,42.642845,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikcitywalls;dubrovniktvrđavaminčeta,,Thu May 07 14:31:51 CEST 2009
18.109192,42.642536,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikcitywalls;dubrovniktvrđavaminčeta,,Thu May 07 14:31:48 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 13,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 21:33:47 CEST 2009
18.107582,42.642403,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;crkvasvspasaudubrovniku;dubrovnikstsaviorschurch;hrvatska;republikahrvatska,,Thu May 07 14:36:12 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 11,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 21:33:13 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 09,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 21:32:44 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:35:46 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 06,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 21:30:40 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 03,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 21:30:07 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 01,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 00:10:45 CEST 2009
15.601356,43.826706,41701347@N08,"A Night at the Office in Betina, Croatia",sailing;croatia;week1;murter;adayattheoffice;anadriatic2009;hansressing,,Thu May 14 20:40:06 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:45:44 CEST 2009
16.553907,43.385696,39402859@N03,Supetar Pension Slavija,riva;brac;pension;supetar;brač;slavija;bodul;ratac;hrzic;hržić,,Tue May 12 19:09:39 CEST 2009
18.22106,42.57859,14710727@N08,Harbour Cavtat.,sea;sky;sun;mountains;water;coast;nikon;croatia;sigma;cavtat;d80;wwwjohnrichardsphotographycouk,,Tue May 12 14:37:47 CEST 2009
18.108322,42.640217,44491765@N06,09Eur Dubrovnik 048,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:33:15 CEST 2009
18.108086,42.641,44491765@N06,09Eur Dubrovnik 092,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 02:04:52 CEST 2009
18.108086,42.641,44491765@N06,09Eur Dubrovnik 091,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 02:04:13 CEST 2009
18.108086,42.641,44491765@N06,09Eur Dubrovnik 086,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 01:53:34 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:49:31 CEST 2009
16.442213,43.17479,57316350@N00,Hvar city and harbour,city;boats;islands;view;harbour;croatia;hvar,,Fri May 15 11:28:56 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:49:03 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:48:45 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 07,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 21:31:04 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:47:15 CEST 2009
18.107712,42.642063,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;franjevačkisamostanicrkvaudubrovniku;dubrovnikfranciscanchurchandmonastery,,Thu May 07 14:34:30 CEST 2009
18.107796,42.642647,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikvrataodpila;dubrovnikpilegate,,Thu May 07 14:34:04 CEST 2009
18.10475,42.64272,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikhiltonimperial,,Thu May 07 15:06:11 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:39:22 CEST 2009
18.107153,42.64187,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikvrataodpila;dubrovnikpilegate,,Thu May 07 15:01:30 CEST 2009
18.107153,42.64187,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 14:59:50 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:50:50 CEST 2009
18.108322,42.640217,44491765@N06,09Eur Dubrovnik 047,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:32:54 CEST 2009
18.112099,42.64111,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikgradskaluka;dubrovnikoldport,,Thu May 07 12:44:33 CEST 2009
18.10784,42.6417,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikdominikanskisamostan;dubrovnikdominicanmonastery,,Thu May 07 12:44:29 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:43:00 CEST 2009
18.106445,42.641,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 13:32:17 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:42:50 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:42:44 CEST 2009
18.10755,42.64227,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwalls;dubrovnikwallwalk,,Thu May 07 14:34:48 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:42:11 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:41:56 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:41:06 CEST 2009
18.203014,42.622513,14710727@N08,Sunset Mlini. Croatia,sunset;cloud;coast;nikon;croatia;sigma;mlini;d80;wwwjohnrichardsphotographycouk,,Sun May 10 20:07:39 CEST 2009
18.107153,42.64187,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:04:20 CEST 2009
